#,Qty,Value,Manufacturer,Part Number,Reference
,,,,,
1,4,470uF,Panasonic,EEV-FK1J471M,C1 C2 C3 C4
2,13,0.1uF,KEMET,C0603C104K5RACAUTO,C5 C7 C9 C11 C13 C14 C15 C18 C21 C34 C35 C38 C41
3,9,4.7uF,Panasonic,CL21A475KBQNNNE,C6 C10 C22 C23 C26 C42 C43 C45 C46
4,10,47uF,Panasonic,EEE-1JA470UP,C8 C12 C16 C17 C19 C20 C36 C37 C39 C40
5,4,0.01uF,Samsung,CL21B103KBANNNC,C24 C27 C44 C47
6,1,4.7uF,Samsung,CL21A475KBQNNNE,C25
7,4,2200pF,AVX Corp,06035C222JAT2A,C28 C29 C48 C49
8,4,22pF,AVX Corp,06031U220FAT2A,C30 C31 C50 C51
9,4,0.022uF,AVX Corp,08051C223KAT2A,C32 C33 C52 C53
10,4,Schottky,Comchip Technology,CDBC540-G,D1 D2 D3 D4
11,7,Conn-2,Generic,Terminal-2pin,J1 J2 J3 J4 J5 J6 J7
12,4,100uH,Bourns Inc.,SRP1770TA-101M,L1 L2 L3 L4
13,4,51.1,Vishay Dale,CRCW120651R1FKEA,R1 R2 R13 R14
14,4,665k,Vishay Dale,CRCW1206665KFKEA,R3 R4 R15 R16
15,4,10k,Samsung,RC3216F103CS,R5 R6 R17 R18
16,4,130k,Vishay Dale,CRCW1206130KFKEA,R7 R9 R19 R21
17,4,37.4k,Vishay Dale,CRCW120637K4FKEA,R8 R10 R20 R22
18,1,464,Vishay Dale,CRCW1206130KFKEA,R11
19,3,715,Panasonic,ERJ-8ENF7150V,R12 R23 R24
20,2,LD29150,STMicroelectronics,LD29150DT50R,U1 U2
21,4,TPS54531,Texas Instruments,TPS54531DDAR,U3 U4 U5 U6
